position,company,description,numreview,location
CIB-Quantitative Data Scientist - Engineer-VP - New York,JP Morgan Chase,"<span id=""job_summary"" class=""summary""><div><div><div>J.P. Morgan's Corporate &amp; Investment Bank is a global leader across banking, markets and investor services. The world's most important corporations, governments and institutions entrust us with their business in more than 100 countries. With $24trillion of assets under custody and $393 billion in deposits, the Corporate &amp; Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world.
</div><br>
<div>Overview:</div>
<div>We have a great opportunity to join our Global Investment Banking Data Analytics in NY as a VP, with a focus on pricing and risk management models for Global Capital Markets.</div>
<br>
<div>The role will provide the successful applicant with the opportunity to shape the future of models and analytics for the #1 Global Investment Banking franchise (IBD, M&amp;A &amp; Corporate Finance).
</div><br>
<div>The successful quant/engineer will partner closely with bankers to explore multiple scenarios:
</div><ul><li>Enhance Models/ Analytics in Banking</li>
<li>Expand Quantitative Research platform into Banking</li>
<li>Bespoke models working closely with senior business sponsors e.g. Corporate Finance Advisory, Mergers &amp; Acquisitions</li>
<li>Advanced modelling (rethinking traditional workflows and existing methods)</li></ul>
<br>
<div>This will be achieved by:</div>
<br>
<ul><li>Working to build, investigate, test and develop models using traditional and alternative data sources</li>
<li>Partnering closely with teams cross JP Morgan’s Quantitative Research on platform and analytics</li>
<li>Engage with Banking on commercial opportunities and deliverables for JP Morgan’s clients</li>
<li>Partnering with data science team as well as client-relationship management teams to drive analytics alerts advanced techniques appropriately
</li></ul></div><div><br>
<ul><li>Master degree in a quantitative subject
</li><li>Strong communication skills</li>
<li>5+ Experience in a Quantitative Research or Banking Quantitative role</li>
<li>Very strong coding / code design</li></ul></div></div></span>","20,319 reviews","New York, NY 10179 "
Data Scientist-Marketing Channel Attribution and Forecasting,letgo,"<span id=""job_summary"" class=""summary"">letgo's the largest and fastest growing app to buy and sell locally. With over 75M downloads and hundreds of millions of listings to date, letgo’s been named among the “Hottest Startups” by Wired and “Best Apps” by Google, and it’s the second fastest growing app in America since its 2015 launch. Business Insider calls letgo “the go-to app for selling your stuff” and it’s been featured by The New York Times, The Today Show, USA Today, The Verge, Fast Company, The Wall Street Journal, Fortune and hundreds of others worldwide. Already among the most popular apps in America, letgo’s marketplace is filled with everything from electronics and cars to clothing and furniture. Listing something on letgo is as simple as taking a photo thanks to its advanced technology. It’s the only app of its kind that can automatically title and categorize an item using artificial intelligence. Plus, users can easily browse local listings, chat instantly in the app, and view each other’s profiles, ratings and reviews.
<br><br>
Based in our New York and Barcelona offices, our team of over 165 represents more than 20 nationalities. Fueled by our diverse expertise, letgo’s goal is to build the largest marketplace of its kind in the world. We’re looking for people who are as passionate as we are about creating something our users love and - just as importantly - who are excited by the challenge.
<br><br>
The Data Scientist, Marketing Attribution &amp; Forecasting is an analytical team member who will play a critical role in diving into our data to apply statistics to marketing problems, helping us to understand and optimize the ROI of each marketing channel. They will work closely with our Offline and Online marketing teams to design the most efficient allocation of our marketing budget.
<br><br>
We’re looking for someone who wants to build something huge and that people love because it makes their lives simpler:
<br><br>
We’ve built a company for people who want to do impactful work, surrounded by great people. We have a well-defined, mature culture — and we’re always making it better.
<br><br>
<b>Your challenge:</b><br>
<ul>
<li>Work closely with our marketing experts to expand our understanding of each marketing channel efficiency and to develop marketing investment strategies</li>
<li>Build attribution models to evaluate the ROI of each marketing channel</li>
<li>Develop and maintain actionable forecasting models to inform our decision making</li>
<li>Understand the nuts and bolts of our business and choose the right technical tools to address the problems at hand</li>
</ul>
<b>To get there, you’ll need:</b><br>
<ul>
<li>Advanced degree in CS, Statistics, Math, Physics, or other quantitative fields</li>
<li>Advanced knowledge of computational tools to implement state-of-the art statistical models (R, Python, and their libraries)</li>
<li>Strong SQL skills</li>
<li>Experience with big data tools and frameworks (Spark, Hadoop, Hive, etc.)</li>
<li>Advanced knowledge of statistical models for time series data (ARIMAX, SARIMAX family, State-space models)</li>
<li>Experience in Offline and online marketing analytics</li>
<li>Strong quantitative skills and experience doing research in statistics, probability, machine learning, signal processing, econometrics, bioinformatics or another quantitative field (preferred)</li>
<li>Familiarity building and deploying data pipelines and services in AWS or another cloud service provider (preferred)</li>
<li>Willingness to fail fast and iterate faster</li>
<li>Fluent in English, Spanish a plus</li>
</ul>
<b>letgo perks:</b><br>
<ul>
<li>100% covered medical, vision, and dental care premiums for you and your family</li>
<li>Competitive salary and stock options</li>
<li>Beautiful, new office in the heart of Soho and along the beach in Barcelona</li>
<li>Potential opportunities to travel to - and work in - both of our offices</li>
<li>Robust relocation package</li>
<li>Massage therapy (Barcelona office)</li>
<li>Fully stocked kitchens</li>
<li>Team-building activities</li>
<li>Language and other courses</li>
</ul>
letgo is proud to be an Equal Opportunity and Affirmative Action employer. Ensuring a diverse and inclusive workplace where we learn from each other is core to letgo's values. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.</span>",,"New York, NY"
Lead Data Scientist,Maxus,"<span id=""job_summary"" class=""summary""><div>GroupM's new technology platform unit, [m]PLATFORM, is looking for Data Scientists to join our team. [m]PLATFORM is an advanced technology suite of flexible media planning applications, data analytics and digital services. The platform will improve advertisers’ ability to use audience-defining insights from hundreds of data sources to find and communicate with their consumers across all media.
<br>
<br>
[m]PLATFORM makes it possible for media planners at GroupM agencies to use the most detailed consumer data to achieve results for their clients. It is supported by a team of data scientists, technologists and digital practitioners from across GroupM specialist companies.
<br>
<br>
As a Lead Data Scientist, you will be responsible for tasks around data understanding and data enablement. This reaches from hypotheses testing, data experiments, and predictive and prescriptive analysis, over development of modeling algorithms and prototypes, to data integration and ETL design.
<br>
<br>
This role will be based in New York, reporting into the Global Head of Data Science, and closely partner with product management and engineering. We are also considering experienced Data Scientists for a mid-level opportunity.
<br>
<br>
Your Impact
<br>
You will work on global projects in the creation of innovative software solutions that are based on data intelligence for [m]PLATFORM. You will collaborate with a group of fast-paced, extremely dedicated coworkers who are all passionate about digital media and technology. You will often find groups in casual brainstorming sessions sharing ideas and strategies for new initiatives. Work with a team that is constantly innovating. Everyone has a voice and we are open to new ways of thinking – your opinion is encouraged and valued.
<br>
<br>
Responsibilities include:
<br>
<ul><li>Mentor and develop a growing data science team
</li><li>Complex data analysis, hypothesis testing, data preparation, product prototyping and development of prognostic models for the platform based on modern statistical methods.
</li><li>Support the development team and product management team in [m]PLATFORM development efforts including consultative partnering, collaboration, sharing plans, information and resources.
</li><li>Identify problem areas and develop plans to overcome any issues to ensure that the project of it is achievable.
</li><li>Contribute to the development of the data science prototype framework
</li><li>Use systems and internal processes efficiently and integrate these in daily work. Fulfill high IT literacy and technical and specialist requirements for further deployment of the framework.
</li><li>Be part of a lean yet highly effective agile organization. Demonstrate an ability to do more with less, with a history of identifying and exploiting opportunities for efficiency improvements.
</li></ul>
<br>
Qualifications
<br>
<ul><li>Minimum PhD degree in Engineering, Computer Science, Mathematics, Statistics, Economics, etc plus 5+ years experience.
</li><li>Experience in data analysis and multivariate statistics.
</li><li>Deep understanding of physics, mathematics, computer science or similar, or several years of research and application experience in Machine Learning, Deep Learning or Reinforcement Learning.
</li><li>Excellent analytical skills and strong statistical knowledge, as well as interest in applying them to complex problems
</li><li>Familiarity with Java, Scala and Python
</li><li>Expertise in statistical programming languages such as R
</li><li>Understanding of Big Data architectures and solutions such as Spark, Hadoop and/or column oriented SQL databases.
</li><li>Experience working in startups, startup divisions, or newly launched technology organizations, a plus.
</li></ul>Excellent communication skills</div></span>",12 reviews,"New York, NY"
Data & Analysis Intern,Bright Power,"<span id=""job_summary"" class=""summary""><div><p>We collect and analyze thousands of utility bills in pursuit of valuable insight for our clients. The Data &amp; Analysis intern will help our data and energy analysis teams in this pursuit. The intern will work with the Bright Power team to understand data processing tasks and deadlines. In addition they will communicate with property managers/owners and utility companies to get energy and water data, follow up to obtain complete and accurate information, and input energy and water data, in a timely and accurate manner, into Excel documents and EnergyScoreCards online software.</p><p><b>
Join Us</b></p><p>
Bright Power has been a transformative player in clean energy and sustainable housing for 12 years. Our Clients include affordable housing owners and developers, Fortune 1000 financial and real estate investors, privately held firms, and some of the nation’s largest property managers.</p><p>
We are passionate about reducing energy and water usage through the implementation of energy efficiency and renewable energy technologies. Our goal is to improve the health, comfort, and value of our client’s buildings, while cultivating a sustainable future. We believe deeply in doing well by doing good, and come to work every day seeking to change the world.</p><p><b>
Primary Tasks</b></p><ul><li>
Support EnergyScoreCards analysis and reporting</li><li>
Support collection of utility data</li><li>
Miscellaneous administrative tasks in support of the Data and Analysis department</li></ul><p><b>
Skills Preferred</b></p><ul><li>
Proficiency in MS Excel (data manipulation and basic formulas)</li><li>
Excellent attention to detail</li><li>
Excellent time management skills</li><li>
Good written and oral communication skills</li><li>
Creative and pro-active problem solving abilities</li><li>
Experience with SQL and Python</li><li>
Some experience/exposure to energy and building science</li><li>
Interest in sustainability</li></ul><p><b>
Equal Employment Opportunities</b></p><p>
Bright Power provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Bright Power complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.</p><p>
Bright Power expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Bright Power’s employees to perform their job duties may result in discipline up to and including discharge.</p><p><b>
Salary commensurate with experience. Applications submitted without cover letters will not be considered.</b></p></div></span>",2 reviews,"New York, NY"
Lead Data Scientist,[m]Platform,"<span id=""job_summary"" class=""summary""><div>GroupM's new technology platform unit, [m]PLATFORM, is looking for Data Scientists to join our team. [m]PLATFORM is an advanced technology suite of flexible media planning applications, data analytics and digital services. The platform will improve advertisers’ ability to use audience-defining insights from hundreds of data sources to find and communicate with their consumers across all media.<br>
<br>
[m]PLATFORM makes it possible for media planners at GroupM agencies to use the most detailed consumer data to achieve results for their clients. It is supported by a team of data scientists, technologists and digital practitioners from across GroupM specialist companies.<br>
<br>
As a Lead Data Scientist, you will be responsible for tasks around data understanding and data enablement. This reaches from hypotheses testing, data experiments, and predictive and prescriptive analysis, over development of modeling algorithms and prototypes, to data integration and ETL design.<br>
<br>
This role will be based in New York, reporting into the Global Head of Data Science, and closely partner with product management and engineering. We are also considering experienced Data Scientists for a mid-level opportunity.<br>
<br>
Your Impact<br>
You will work on global projects in the creation of innovative software solutions that are based on data intelligence for [m]PLATFORM. You will collaborate with a group of fast-paced, extremely dedicated coworkers who are all passionate about digital media and technology. You will often find groups in casual brainstorming sessions sharing ideas and strategies for new initiatives. Work with a team that is constantly innovating. Everyone has a voice and we are open to new ways of thinking – your opinion is encouraged and valued.
<br>
<br>
Responsibilities include:<br>
<ul><li>Mentor and develop a growing data science team</li><li>Complex data analysis, hypothesis testing, data preparation, product prototyping and development of prognostic models for the platform based on modern statistical methods.</li><li>Support the development team and product management team in [m]PLATFORM development efforts including consultative partnering, collaboration, sharing plans, information and resources.</li><li>Identify problem areas and develop plans to overcome any issues to ensure that the project of it is achievable.</li><li>Contribute to the development of the data science prototype framework</li><li>Use systems and internal processes efficiently and integrate these in daily work. Fulfill high IT literacy and technical and specialist requirements for further deployment of the framework.</li><li>Be part of a lean yet highly effective agile organization. Demonstrate an ability to do more with less, with a history of identifying and exploiting opportunities for efficiency improvements.</li></ul><br>
Qualifications<br>
<ul><li>Minimum PhD degree in Engineering, Computer Science, Mathematics, Statistics, Economics, etc plus 5+ years experience.</li><li>Experience in data analysis and multivariate statistics.</li><li>Deep understanding of physics, mathematics, computer science or similar, or several years of research and application experience in Machine Learning, Deep Learning or Reinforcement Learning.</li><li>Excellent analytical skills and strong statistical knowledge, as well as interest in applying them to complex problems</li><li>Familiarity with Java, Scala and Python</li><li>Expertise in statistical programming languages such as R</li><li>Understanding of Big Data architectures and solutions such as Spark, Hadoop and/or column oriented SQL databases.</li><li>Experience working in startups, startup divisions, or newly launched technology organizations, a plus.</li></ul>
Excellent communication skills</div></span>",92 reviews,"New York, NY"
Research Scientist,NYU Langone Health,"<span id=""job_summary"" class=""summary"">NYU School of Medicine is one of the nation's top-ranked medical schools. For 175 years, NYU School of Medicine has trained thousands of physicians and scientists who have helped to shape the course of medical history and enrich the lives of countless people. An integral part of NYU Langone Health , the School of Medicine at its core is committed to improving the human condition through medical education, scientific research, and direct patient care. For more information, go to med.nyu.edu , and interact with us on Facebook , Twitter and Instagram .
<br><br>
<b>Position Summary:</b><br>
We have an exciting opportunity to join our team as a Research Scientist.
<br><br>
In this role, the successful candidate is responsible for collaborating with Principal Investigators (PI) and working independently within the scientific framework of the PIs laboratory.
<br><br>
<b>Job Responsibilities:</b><br>
Initiates, interprets, organizes, executes, and coordinates research assignments critical to departments mission.
<br>Formulates and conducts research on problems of considerable scope and complexity.
<br>Explores subject area and defines scope and selection of problems for investigation through conceptually related studies or series of projects of lesser scope.
<br>Makes decisions and recommendations that have a major impact on extensive scientific research activities.
<br>Develops new ideas that promote current research. Exercises a high degree of creativity, foresight, and mature judgment in planning, organizing, and guiding extensive scientific research programs and activities of outstanding novelty and/or importance.
<br>Ensures timely and accurate completion of research projects.
<br>May be responsible research/lab quality control and compliance.
<br>May develop protocol for the collection and quality of research data.
<br>Develops research techniques and methodologies.
<br>Maintains a thorough knowledge of the advances in specialized fields through attendance of scientific conferences.
<br>May coordinate the activity and experimental design between various scientific staff, and collaborators. Identifies and resolves technical problems.
<br>Performs other duties as assigned.
<br><br>
<b>Minimum Qualifications:</b><br>
To qualify you must have a PhD and 2 years experience.
<br><br>
<b>Preferred Qualifications:</b><br>
Substantial experience from having completed Post Doc training.
<br>Established a record of publications.
<br>Qualified candidates must be able to effectively communicate with all levels of the organization.
<br><br>
NYU School of Medicine provides its staff with far more than just a place to work. Rather, we are an institution you can be proud of, an institution where you'll feel good about devoting your time and your talents.
<br><br>
NYU School of Medicine is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sex, sexual orientation, transgender status, gender dysphoria, national origin, age, religion, disability, military and veteran status, marital or parental status, citizenship status, genetic information or any other factor which cannot lawfully be used as a basis for an employment decision. We require applications to be completed online.
<br><br>
If you wish to view NYU School of Medicine's EEO policies, please click here . Please click here to view the Federal ""EEO is the law"" poster or visit https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm for more information.</span>",705 reviews,"New York, NY 10016 "
Senior Data Scientist,Tephra Inc,"<span id=""job_summary"" class=""summary""><p><b>Senior Data Scientist </b></p><p><b>New York, NY</b></p><p><b>Full Time Perm role</b></p><p><b>At least 13 years of being a Data Scientist.</b></p><p>Responsibilities: (1) Build analytics models to analyze and derive practical insights from large volumes of data that require the expertise of data analysis &amp; generation and feature engineering. (2) Design, develop and deploy state of the art, data-driven predictive models. (3) Develop optimization and simulation models to solve business problems using latest technologies in data mining, statistical modeling, pattern recognition, and optimization across the chosen industry and functional area. (4) Develop proofs-of-concepts and -technology to explore innovative analytics approaches. (5) Develop intellectual properties including patents and publications for analytics solutions / prototypes / products. (6) Advise clients &amp; internal teams on the right technology environment, analytic platforms and approaches to take in addressing complex, open-ended business problems. (7) Develop intellectual properties and publish papers in well-recognized conferences and journals.</p><p><b>Qualifications: </b> (1) PhD or MS or substantial experiences in highly quantitative fields. (2) Deep background in at least one of the following: Machine Learning, AI &amp; Cognitive Technology, NLP and Text Analytics, Numerical Optimization, Stochastic Simulation, and Behavioral Modeling and Simulation for BFS/Retail/Smart Cities. (3) The qualified candidate will have a proven history of driving critical research and development and developing in-depth analytical understanding of systems. (4) 13+ years applied experience devising, deploying and servicing statistical and machine learning models on massive datasets; extensive experience in wrangling data from its raw forms to a state suitable for application of advanced algorithms. (5) 3+ years hands-on experience in optimization modeling, simulation and analysis. (6) Fluent in using R, Python or equivalent statistical analysis software such as SAS, Matlab (7) Hands-on Experience with Apache Spark, NoSQL techniques and data acquisition tools.</p><p>At least 13 years of being a full time Data Scientist</p><p>Job Type: Full-time</p><p>Experience:</p><ul><li>Data Scientist: 10 years</li></ul><p>Education:</p><ul><li>Master's</li></ul><p>Required work authorization:</p><ul><li>United States</li></ul></span>",,"New York, NY"
Data Analyst/Scientist,Blue Mesa Health,"<span id=""job_summary"" class=""summary""><div><div><div>Blue Mesa Health is on a mission to deliver world-class digital health solutions that empower individuals to live chronic disease-free. We are a global, culturally diverse company with aspirations to prevent 100 million cases of chronic disease in the next decade. Our flagship product, Transform, is an evidence-based diabetes prevention program delivered via a combination of software, connected hardware, and professional health coaching.</div><div><br>
</div><div><b>
Who are we looking for?</b></div><div><br>
</div><div>
You are passionate about preventive health and you have a desire to make a positive impact on the world.</div><div><br>
</div><div>
You feel energized when you directly or indirectly help others modify lifestyle behaviors, prevent disease, promote health, and create long-term behavior change.
</div><div>You are ready to join a funded, early-stage startup and work with people who are building amazing health technology and sharing it with the world.
</div><div>You are excited to work with a great team of health science, design, business and engineering professionals who challenge and inspire you every day to make great decisions and build high-quality, scalable, well-designed software.</div><div><br>
</div><div>
You are excited to be part of a fast-moving, intellectually curious, growing digital health venture.</div><div><br>
</div><div>
Our product team supports the human relationship between program participants and their dedicated health coach.
</div><div>Projects include:</div><div><br>
</div><div>
A multi-platform smartphone app designed to drive behavior change through education, rich communication, and habit trigger push notifications</div><div>
Backend data integration and analysis of activity tracker and weight scale data for outcome focused decision making</div><div>
Rapid iteration towards human-computer hybrid communication with both clear information design and also applications of machine learning.</div><div><br>
</div><div>
About you:</div><div><br>
</div><div>
We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.</div></div>
<div><div><h3 class=""jobSectionHeader""><b>Requirements</b></h3><div><ul><li>
Selecting features, building and optimizing classifiers using machine learning techniques</li><li>
Enhancing data collection procedures to include information that is relevant for building analytic systems</li><li>
Processing, cleansing, and verifying the integrity of data used for analysis</li><li>
Doing ad-hoc analysis and presenting results in a clear manner</li><li>
Creating automated anomaly detection systems and constant tracking of its performance</li><li>
Collaborating with product management and engineering departments to understand company needs and devise possible solutions</li><li>
Keeping up-to-date with latest technology trends</li><li>
Communicating results and ideas to key decision makers</li></ul></div></div></div>
<div><div><h3 class=""jobSectionHeader""><b>Qualifications</b></h3><div><ul><li>
Great communication skills</li><li>
Experience with data visualisation tools, such as D3.js, GGplot, etc.</li><li>
Proficiency in using query languages such as SQL</li><li>
Experience with common data science toolkits</li><li>
Good applied statistics skills, such as distributions, statistical testing, regression, etc.</li></ul></div></div></div>
<div><div><h3 class=""jobSectionHeader""><b>Preferred Qualifications</b></h3><div><ul><li>
Extensive background in data mining and statistical analysis</li><li>
Able to understand various data structures and common methods in data transformation</li><li>
Excellent pattern recognition and predictive modeling skills</li></ul></div></div></div>
<div><div>We are a small team using a Javascript everywhere stack (Express.js on Node.js for RESTful backend, GraphQL, Angular web app, Ionic mobile app) for maximum efficiency and collaboration. The next hires will be a major part of defining our technical culture.</div></div></div></span>",,"New York, NY"
Applied Scientist - Amazon AI,Amazon.com,"<span id=""job_summary"" class=""summary""><div><h2 class=""jobSectionHeader""><b>Job Description
</b></h2><div><div><div>Amazon AI is looking for world class scientists and engineers to join its Algorithms group. This group is entrusted with developing core data mining and machine learning algorithms for AWS. At the Algorithms group at Amazon AI you will invent, implement, and deploy state of the art machine learning algorithms and systems. You will build prototypes and explore conceptually new solutions. You will interact closely with our customers and with the academic community. You will be at the heart of a growing and exciting focus area for AWS and work with other acclaimed engineers and world famous scientists.
</div></div></div><h2 class=""jobSectionHeader""><b>Basic Qualifications
</b></h2><div><div><div><ul><li>PhD degree in computer science, operations research, statistics, engineering, or mathematics</li><li>
3+ years of experience in the field with a proven track record</li><li>
Experience with fast prototyping</li><li>
Experience with object oriented languages and efficient low level coding</li><li>
Experience with data mining or machine learning applications</li><li>
Experience working effectively with software engineering teams</li><li>
Excellent written and verbal communication skills</li><li>
Strong publication record at top conferences and journals</li></ul>
</div></div></div><h2 class=""jobSectionHeader""><b>Preferred Qualifications
</b></h2><div><div><div>As a Scientist in the Algorithms group you are expected be an expert in an area relevant for large scale machine learning and its applications.<br>
Your position will require you to:<br>
<ul><li>Be an active member of a software development team.</li><li>
Improve and accelerate our technology with science, statistical modeling, algorithm design, and prototyping.</li><li>
Maintain an understanding of industry and technology trends in said area of research.</li><li>
Contribute to Amazon's Intellectual Property through patents and/or external publications.</li><li>
Understand business context to decisions made within and across groups.</li></ul></div></div></div></div></span>","25,883 reviews","New York, NY"
Security Data Scientist,Rockstar New York,"<span id=""job_summary"" class=""summary""><div><p>Rockstar is looking for a dedicated Data Scientist to assist in driving our various security initiatives. The successful candidate will both define data which should be captured in future states and analyze existing data in order to isolate patterns of bad activity. If you are eager to solve problems and catch bad guys then this is the role for you.</p><h3 class=""jobSectionHeader""><b>
RESPONSIBILITIES</b></h3><ul><li>
Serve as a subject matter expert to the Security team for data collection and availability.</li><li>
Initiate and carry out analytic experiments aligned with long-term, strategic initiatives.</li><li>
Design, develop, and deliver machine learning enabled solutions to address critical questions.</li><li>
Perform analysis on data related to several of our titles for patterns of malicious activity.</li><li>
Provide insights and recommendations pulled from analysis to leadership and team members.</li><li>
Work with the Data Engineers on any necessary data modeling to facilitate investigation.</li><li>
Define additional sources of data or logging which could aid during investigations.</li></ul><h3 class=""jobSectionHeader""><b>
REQUIRED</b></h3><ul><li>
4+ years in a similar position or an analytics role in the customer service, marketing, forensic, finance or technology fields.</li><li>
Strong background performing investigative analytics.</li><li>
Extensive knowledge of machine learning techniques such as k-NN, Naive Bayes, SVM, Decision Forests, Data Mining, Clustering, and Classification.</li><li>
Proficiency in statistics such as distributions, predictive modeling, data validation, statistical testing, regression.</li><li>
Bachelor’s degree in Computer Science or related field, with a strong quantitative background.</li><li>
Extensive knowledge of data analysis techniques, languages, software and systems (SAS, R, Matlab, Python, SPSS, Tableau).</li><li>
Ability to develop and maintain good relations and communicate with people at all hierarchical levels.</li><li>
Ability to reconcile technical and business perspectives.</li><li>
Autonomy and entrepreneurship.</li><li>
Passion for Rockstar Games and our titles.</li></ul><h3 class=""jobSectionHeader""><b>
DESIRED</b></h3><ul><li>
Experience with Vertica, Splunk and Hadoop, an asset.</li><li>
2+ years using SQL (or a SQL-like language) required, other programming experience highly preferred.</li><li>
Graduate degree (MBA, MSc or Master’s, PHD), an asset.</li><li>
Game industry experience strongly desired.</li></ul></div></span>",,"New York, NY"
Statistical Machine Learning Scientist,AIG,"<span id=""job_summary"" class=""summary""><div><p>Functional Area:
</p>FA - Finance
<br>
<br>
Estimated Travel Percentage (%):
<br>
<br>
Relocation Provided:
<br>
<br>
AIG PC Global Services, Inc
<br>
<br>
<p><b>Position Summary
</b></p><br>
<p>Science team at AIG develops AI-first products (apps and services that use machine learning to <i>inform </i>and <i>assist </i>their users) for both insurance and investment arms of AIG. This is mainly achieved through:
</p><p>Incubation of disruptive innovation (via scientists, engineers and designers working together) Machine learning R&amp;D (and publication in top AI/ML conferences and journals) Provision of machine-learning advisory / consulting to AIG's global businesses.
</p><p>The resulting solutions and innovations aim to reinvent AIG’s internal processes, improve AIG’s offerings to its clients (in line with the company’s mission to be its clients’ most valued insurer), and ultimately disrupt the wider insurance industry.
</p><p>As a critical role in Science’s success, we are looking to hire Statistical Machine Learning Scientists to join our team and contribute to the development and implementation of the algorithmic core of a series of exciting new products / projects.
</p><p>This is an exciting opportunity for those who want to enjoy state-of-the-art R&amp;D and be challenged and grow as a Statistical Machine Learning Scientist; along the way this role will contribute to game-changing products for the multi-trillion-dollar insurance industry and use AIG’s (the world’s largest insurer by many metrics) global network to deliver impact and change.
</p><br>
<p><b>Responsibilities and Performance Objectives
</b></p><ul><li>Employ the existing (and develop new) Machine Learning algorithms that can find (predictive) patterns in large multi-modal data.
</li><li>Provide innovative solutions for business problems (e.g., by translating complex commercial problems to Machine Learning problems).
</li><li>Be an active member of teams that provide the business with AI-first apps, and data-driven insights and strategies.
</li><li>Participate in, lead, and create cross-functional projects and training.
</li><li>Communicate (both oral and written) with colleagues and stakeholders (both internal and external).
</li><li>For more senior candidates: Lead, inspire and mentor junior scientists and research assistants (interns).
</li></ul><br>
<p><b>Required Attributes
</b></p><br>
<p>Both senior candidates (i.e., with years of relevant academic and/or industrial experience) and junior candidates are welcome to apply; we have and will offer positions appropriate to expertise and level of experience.
</p><br>
<p>The minimum required skills include:
</p><ul><li>An advanced degree (e.g., PhD) in a numeric discipline (e.g., Statistics, Machine Learning, Computer Science, Engineering, and Physics).
</li><li>Scientific expertise and applied experience in Machine Learning (ideally, a combination of excellent academic research and high-impact commercial projects).
</li><li>In depth understanding of common Machine Learning algorithms (e.g., for classification, regression and clustering).
</li><li>In depth knowledge of advanced statistical theories, methodologies, and inference tools (e.g., hypothesis testing, (generalized) linear models, additive models, mixture models, non-parametric models).
</li><li>Proven track record in some of the advanced topics such as Bayesian inference, hierarchical models, deep learning, Gaussian processes, and causal inference.
</li><li>Advanced programming skills in Python and/or R (and their related data processing, Machine Learning, and visualization libraries).
</li><li>Practical experience in preparing data for Machine Learning (e.g., using SQL and/or NoSQL technologies).
</li><li>Completion of at least one significant project (equivalent of a great PhD research project, and/or a high-impact commercial project) in applied Machine Learning.
</li><li>Excellent (written and oral) communication skills.
</li></ul><br>
<p><b>An ideal candidate (is not required to, but) will also have:
</b></p><ul><li>Integration of Machine Learning algorithms with big-data platforms (e.g., Spark) and high-performance computing ecosystems (e.g., CUDA).
</li><li>Programming in C++ and/or Java.
</li><li>Deployment of algorithms as real time / highly available services.
</li><li>Integration with front-end systems (e.g., HTML5/ native mobile apps).
</li><li>Employing Machine Learning in collaborative commercial settings (e.g., using DevOps methodologies and tools such as GitHub), ideally, in collaboration with product development teams.
</li><li>Leading scientific projects.
</li><li>Publication record in (and willingness to represent AIG in) top statistic (e.g., JRSS, JASA, Bka, AoS, JRSB, Bcs, and JCGS) and/or machine learning (e.g., AI, TPAMI, IJCV, and JMLR) journals and conferences (e.g., NIPS, ICML, AAAI, CVPR, IJCAI, ACL, EMNLP, and AISTATS).
</li><li>Experience of working with engineering and design / product teams.
</li><li>Senior candidates should have proven ability to engage with business, formulate technical problems from business needs and craft solutions to shape business priorities.
</li></ul><br>
<br>
<br>
<br>
<p>It has been and will continue to be the policy of American International Group, Inc., its subsidiaries and affiliates to be an Equal Opportunity Employer. We provide equal opportunity to all qualified individuals regardless of race, color, religion, age, gender, gender expression, national origin, veteran status, disability or any other legally protected categories.
</p><br>
<p>At AIG, we believe that diversity and inclusion are critical to our future and our mission – creating a foundation for a creative workplace that leads to innovation, growth, and profitability. Through a wide variety of programs and initiatives, we invest in each employee, seeking to ensure that our people are not only respected as individuals, but also truly valued for their unique perspectives.</p></div></span>","2,611 reviews","New York, NY"
